ID klienta;Segment;Data dołączenia;Preferowany kanał;Wizyty (90 dni);Średni koszyk (PLN);NPS;Komentarz NPS;Churn (90d)
23;Bronze;2022-07-09;stacjonarny;3;41.08;-30;Aplikacja mobilna mało intuicyjna.;Tak
24;Silver;2025-07-05;online;10;129.63;29;W sezonie urlopowym sklep świeci pustkami — gdzie mleko?;Nie
25;Silver;2024-10-02;stacjonarny;9;67.0;14;Lubię markę PLON, ekonomicznie i jakościowo.;Nie
26;Bronze;2024-07-21;online;0;55.27;0;Promocje są dobre, ale potem braki na półce.;Tak
27;Silver;2024-09-19;stacjonarny;4;97.86;-37;Bardzo długie kolejki w piątek po 17:00.;Nie
28;Bronze;2024-04-23;stacjonarny;1;34.9;8;;Tak
29;Bronze;2024-01-01;stacjonarny;1;29.94;59;Sklep czysty i obsługa miła, brakuje samoobsługowych kas.;Tak
30;Bronze;2025-04-02;stacjonarny;4;35.8;3;W sezonie urlopowym sklep świeci pustkami — gdzie mleko?;Nie
31;Silver;2024-12-11;stacjonarny;7;97.42;-19;Drożej niż w Lidlu, ale jakość fresh lepsza.;Nie
32;Gold;2024-08-13;stacjonarny;13;231.78;23;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Nie
33;Silver;2022-12-18;online;7;45.81;46;;Nie
34;Bronze;2022-11-06;stacjonarny;2;56.02;86;Sklep czysty i obsługa miła, brakuje samoobsługowych kas.;Tak
35;Gold;2022-09-17;stacjonarny;22;105.66;22;;Nie
36;Silver;2023-07-17;stacjonarny;10;75.07;-10;Świeże pieczywo tylko do 14:00, potem nic.;Nie
37;Gold;2023-11-07;online;19;87.4;24;W sezonie urlopowym sklep świeci pustkami — gdzie mleko?;Nie
38;Silver;2023-04-13;stacjonarny;9;136.66;46;Przeceny end-of-day super, ale rzadko widoczne.;Nie
39;Silver;2025-09-08;stacjonarny;5;109.73;4;Bardzo długie kolejki w piątek po 17:00.;Nie
40;Silver;2024-03-21;q-commerce;8;111.21;24;;Nie
41;Bronze;2022-03-24;stacjonarny;3;38.04;-30;Sklep czysty i obsługa miła, brakuje samoobsługowych kas.;Tak
42;Silver;2024-09-01;stacjonarny;10;90.04;58;;Nie
43;Bronze;2024-02-13;stacjonarny;0;45.09;10;Aplikacja mobilna mało intuicyjna.;Nie
44;Bronze;2023-01-25;q-commerce;3;15.86;-20;Przeceny end-of-day super, ale rzadko widoczne.;Tak
45;Bronze;2023-05-10;stacjonarny;1;15.0;-30;Świeże pieczywo tylko do 14:00, potem nic.;Nie
46;Bronze;2023-02-17;stacjonarny;3;63.55;47;Kierowca Q-com pomylił adres.;Nie
47;Silver;2024-08-07;online;5;41.3;46;Promocje są dobre, ale potem braki na półce.;Nie
48;Bronze;2023-02-18;stacjonarny;4;46.44;6;W sezonie urlopowym sklep świeci pustkami — gdzie mleko?;Nie
49;Bronze;2023-10-06;stacjonarny;4;53.28;-30;;Nie
50;Bronze;2022-01-12;online;1;48.48;0;;Tak
51;Bronze;2023-09-27;q-commerce;2;19.27;-30;Potrzeba więcej parkingu.;Nie
52;Silver;2022-10-03;stacjonarny;9;90.96;71;Plonka — kupony często nieadekwatne do moich zakupów.;Nie
53;Bronze;2023-10-23;online;0;50.4;16;Bardzo długie kolejki w piątek po 17:00.;Nie
54;Bronze;2023-11-23;stacjonarny;0;18.07;-30;Lubię markę PLON, ekonomicznie i jakościowo.;Nie
55;Gold;2023-07-09;online;18;122.2;2;Przeceny end-of-day super, ale rzadko widoczne.;Nie
56;Silver;2023-04-13;stacjonarny;4;74.62;-39;Plonka — kupony często nieadekwatne do moich zakupów.;Nie
57;Silver;2023-11-20;stacjonarny;9;103.81;-5;Bardzo długie kolejki w piątek po 17:00.;Nie
58;Silver;2025-01-22;q-commerce;7;62.69;-3;Aplikacja mobilna mało intuicyjna.;Tak
59;Bronze;2023-01-12;stacjonarny;2;27.24;-20;;Nie
60;Bronze;2024-04-01;stacjonarny;2;33.82;-30;Bardzo długie kolejki w piątek po 17:00.;Nie
61;Bronze;2022-11-21;stacjonarny;4;34.38;61;W sezonie urlopowym sklep świeci pustkami — gdzie mleko?;Tak
62;Bronze;2025-10-02;stacjonarny;4;41.02;38;;Tak
63;Bronze;2024-07-07;online;0;40.95;0;;Nie
64;Gold;2025-05-05;stacjonarny;17;91.44;9;Bardzo długie kolejki w piątek po 17:00.;Nie
65;Silver;2024-08-07;stacjonarny;5;86.18;18;;Nie
66;Bronze;2022-04-18;stacjonarny;2;38.63;-10;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Tak
67;Bronze;2022-12-28;stacjonarny;2;34.73;49;Q-commerce w Warszawie super, w innych miastach dłuższy czas.;Tak
68;Bronze;2022-11-26;stacjonarny;0;29.52;22;Sklep czysty i obsługa miła, brakuje samoobsługowych kas.;Nie
69;Bronze;2024-05-05;online;2;34.39;-30;Q-commerce w Warszawie super, w innych miastach dłuższy czas.;Nie
70;Silver;2024-02-05;q-commerce;10;100.39;42;Przeceny end-of-day super, ale rzadko widoczne.;Nie
71;Bronze;2023-03-17;stacjonarny;2;44.65;42;Aplikacja mobilna mało intuicyjna.;Nie
72;Silver;2023-05-10;stacjonarny;10;79.43;55;Bardzo długie kolejki w piątek po 17:00.;Nie
73;Bronze;2023-08-11;stacjonarny;2;35.87;26;Sklep czysty i obsługa miła, brakuje samoobsługowych kas.;Nie
74;Gold;2024-10-26;stacjonarny;27;126.71;-7;Często psuje się terminal BLIK.;Nie
75;Gold;2024-08-05;stacjonarny;24;133.25;40;Kierowca Q-com pomylił adres.;Nie
76;Bronze;2023-07-13;stacjonarny;0;24.96;39;Plonka — kupony często nieadekwatne do moich zakupów.;Tak
77;Gold;2023-09-24;stacjonarny;28;152.19;-13;Promocje są dobre, ale potem braki na półce.;Nie
78;Bronze;2023-04-04;stacjonarny;3;44.78;62;Brak wegańskich opcji w mięsie roślinnym.;Nie
79;Silver;2023-02-25;stacjonarny;10;79.95;40;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Nie
80;Bronze;2023-09-07;stacjonarny;2;43.77;-30;Sklep czysty i obsługa miła, brakuje samoobsługowych kas.;Tak
81;Bronze;2024-11-16;online;1;32.09;10;Plonka — kupony często nieadekwatne do moich zakupów.;Nie
82;Bronze;2024-12-21;stacjonarny;2;56.59;35;Drożej niż w Lidlu, ale jakość fresh lepsza.;Nie
83;Bronze;2025-03-25;stacjonarny;1;40.96;-21;Bardzo długie kolejki w piątek po 17:00.;Tak
84;Silver;2025-04-08;stacjonarny;4;77.93;33;Plonka — kupony często nieadekwatne do moich zakupów.;Nie
85;Gold;2024-02-19;stacjonarny;18;111.91;24;;Nie
86;Gold;2023-01-16;stacjonarny;22;183.35;12;Często psuje się terminal BLIK.;Nie
87;Gold;2023-04-26;q-commerce;18;166.5;46;Świeże pieczywo tylko do 14:00, potem nic.;Nie
88;Bronze;2023-10-17;stacjonarny;1;52.03;-30;Brak wegańskich opcji w mięsie roślinnym.;Tak
89;Bronze;2025-11-20;stacjonarny;0;28.88;-17;Sklep czysty i obsługa miła, brakuje samoobsługowych kas.;Nie
90;Silver;2024-05-16;online;8;88.57;-11;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Nie
91;Bronze;2024-04-07;stacjonarny;0;29.58;-10;Potrzeba więcej parkingu.;Nie
92;Bronze;2023-02-22;stacjonarny;2;28.32;-20;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Nie
93;Bronze;2024-07-04;stacjonarny;2;46.46;27;Brak wegańskich opcji w mięsie roślinnym.;Tak
94;Bronze;2023-08-05;stacjonarny;1;37.04;-30;;Tak
95;Silver;2024-10-04;stacjonarny;10;88.12;17;Lubię markę PLON, ekonomicznie i jakościowo.;Nie
96;Gold;2024-01-17;q-commerce;15;158.83;95;Promocje są dobre, ale potem braki na półce.;Nie
97;Silver;2023-09-09;stacjonarny;8;15.0;-23;Plonka — kupony często nieadekwatne do moich zakupów.;Tak
98;Silver;2024-11-08;stacjonarny;10;73.39;24;;Nie
99;Bronze;2025-09-28;stacjonarny;2;53.92;-30;W sezonie urlopowym sklep świeci pustkami — gdzie mleko?;Nie
100;Gold;2023-04-14;stacjonarny;21;113.45;53;;Nie
101;Silver;2024-09-28;stacjonarny;10;75.9;40;Świetna jakość mięsa, ale wieczorem często brakuje.;Nie
102;Bronze;2023-11-03;stacjonarny;0;42.81;-1;Aplikacja mobilna mało intuicyjna.;Nie
103;Bronze;2024-05-10;online;0;48.26;38;Przeceny end-of-day super, ale rzadko widoczne.;Tak
104;Gold;2024-10-17;stacjonarny;20;129.84;36;Potrzeba więcej parkingu.;Nie
105;Gold;2023-02-15;stacjonarny;26;70.14;14;Bardzo długie kolejki w piątek po 17:00.;Nie
106;Gold;2024-01-17;stacjonarny;16;186.42;-6;Plonka — kupony często nieadekwatne do moich zakupów.;Nie
107;Bronze;2023-03-28;stacjonarny;2;35.24;-2;W sezonie urlopowym sklep świeci pustkami — gdzie mleko?;Nie
108;Silver;2024-09-03;q-commerce;10;37.94;-4;Q-commerce w Warszawie super, w innych miastach dłuższy czas.;Nie
109;Silver;2024-01-09;online;4;122.72;56;;Nie
110;Bronze;2024-12-17;online;2;66.55;-30;;Tak
111;Bronze;2024-09-21;online;4;45.94;0;Świeże pieczywo tylko do 14:00, potem nic.;Nie
112;Bronze;2023-05-25;stacjonarny;1;24.06;34;Kierowca Q-com pomylił adres.;Tak
113;Bronze;2024-08-18;stacjonarny;0;33.38;41;W sezonie urlopowym sklep świeci pustkami — gdzie mleko?;Nie
114;Silver;2022-11-24;online;6;77.75;11;;Tak
115;Silver;2024-11-25;stacjonarny;7;68.97;-32;Często psuje się terminal BLIK.;Nie
116;Bronze;2023-08-07;online;4;58.8;10;Promocje są dobre, ale potem braki na półce.;Nie
117;Bronze;2022-06-13;q-commerce;2;47.1;10;Kierowca Q-com pomylił adres.;Nie
118;Bronze;2023-04-11;stacjonarny;1;19.66;21;Bardzo długie kolejki w piątek po 17:00.;Nie
119;Bronze;2022-05-20;stacjonarny;1;61.35;-9;Aplikacja mobilna mało intuicyjna.;Tak
120;Silver;2023-11-21;stacjonarny;5;74.99;50;Często psuje się terminal BLIK.;Nie
121;Silver;2023-03-12;stacjonarny;9;83.7;93;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Nie
122;Bronze;2024-08-05;online;4;47.22;-30;Świetna jakość mięsa, ale wieczorem często brakuje.;Nie
123;Bronze;2023-12-21;online;3;40.17;100;Promocje są dobre, ale potem braki na półce.;Nie
124;Bronze;2024-01-04;stacjonarny;2;55.82;-10;;Nie
125;Bronze;2024-06-05;online;4;22.75;49;Przeceny end-of-day super, ale rzadko widoczne.;Nie
126;Gold;2022-07-10;stacjonarny;25;170.05;45;Q-commerce w Warszawie super, w innych miastach dłuższy czas.;Nie
127;Bronze;2024-05-28;online;4;36.0;12;Świeże pieczywo tylko do 14:00, potem nic.;Tak
128;Bronze;2025-02-26;online;0;34.39;20;Promocje są dobre, ale potem braki na półce.;Tak
129;Bronze;2024-05-18;stacjonarny;0;33.24;14;Aplikacja mobilna mało intuicyjna.;Nie
130;Silver;2025-06-11;stacjonarny;8;102.7;-12;Brak wegańskich opcji w mięsie roślinnym.;Nie
131;Silver;2023-03-12;stacjonarny;8;67.66;34;Potrzeba więcej parkingu.;Nie
132;Silver;2025-03-07;stacjonarny;6;99.62;56;W sezonie urlopowym sklep świeci pustkami — gdzie mleko?;Tak
133;Silver;2022-06-15;online;9;90.47;61;;Tak
134;Bronze;2024-10-03;q-commerce;2;39.61;10;Q-commerce w Warszawie super, w innych miastach dłuższy czas.;Nie
135;Silver;2022-12-21;stacjonarny;4;72.22;50;Potrzeba więcej parkingu.;Nie
136;Bronze;2025-12-16;stacjonarny;0;29.99;-30;;Nie
137;Bronze;2024-04-05;stacjonarny;3;53.94;-10;Często psuje się terminal BLIK.;Nie
138;Silver;2023-08-13;online;10;92.93;-30;Drożej niż w Lidlu, ale jakość fresh lepsza.;Tak
139;Bronze;2022-02-12;stacjonarny;2;53.55;17;Aplikacja mobilna mało intuicyjna.;Tak
140;Bronze;2023-11-27;stacjonarny;4;34.36;0;Promocje są dobre, ale potem braki na półce.;Tak
141;Bronze;2023-03-01;online;2;68.2;6;Świetna jakość mięsa, ale wieczorem często brakuje.;Nie
142;Bronze;2024-04-25;online;0;67.37;0;Q-commerce w Warszawie super, w innych miastach dłuższy czas.;Nie
143;Bronze;2025-05-27;stacjonarny;3;36.63;-20;Promocje są dobre, ale potem braki na półce.;Nie
144;Bronze;2025-01-28;stacjonarny;2;27.21;66;Świeże pieczywo tylko do 14:00, potem nic.;Nie
145;Bronze;2022-11-19;stacjonarny;3;66.38;32;W sezonie urlopowym sklep świeci pustkami — gdzie mleko?;Nie
146;Bronze;2024-01-21;stacjonarny;4;28.56;-30;Potrzeba więcej parkingu.;Tak
147;Silver;2025-11-05;stacjonarny;6;44.95;16;Aplikacja mobilna mało intuicyjna.;Nie
148;Gold;2023-11-19;online;23;203.57;25;Świetna jakość mięsa, ale wieczorem często brakuje.;Nie
149;Bronze;2024-06-12;online;2;49.19;70;Bardzo długie kolejki w piątek po 17:00.;Nie
150;Bronze;2022-02-21;online;3;60.52;28;Brak wegańskich opcji w mięsie roślinnym.;Tak
151;Bronze;2024-05-24;stacjonarny;2;17.99;10;Lubię markę PLON, ekonomicznie i jakościowo.;Tak
152;Bronze;2024-02-26;stacjonarny;4;26.15;-33;Brak wegańskich opcji w mięsie roślinnym.;Tak
153;Bronze;2025-12-26;online;2;43.62;0;;Nie
154;Bronze;2024-11-14;stacjonarny;3;48.71;-20;Kierowca Q-com pomylił adres.;Tak
155;Bronze;2025-01-09;online;0;26.24;34;;Nie
156;Bronze;2022-11-28;stacjonarny;1;39.84;25;Lubię markę PLON, ekonomicznie i jakościowo.;Tak
157;Bronze;2024-05-10;stacjonarny;2;35.07;0;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Nie
158;Bronze;2025-03-04;stacjonarny;2;36.55;62;W sezonie urlopowym sklep świeci pustkami — gdzie mleko?;Nie
159;Bronze;2024-03-13;stacjonarny;2;56.35;48;W sezonie urlopowym sklep świeci pustkami — gdzie mleko?;Nie
160;Gold;2024-07-25;stacjonarny;13;208.51;100;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Nie
161;Bronze;2022-09-09;stacjonarny;2;40.62;0;Drożej niż w Lidlu, ale jakość fresh lepsza.;Tak
162;Gold;2025-02-11;stacjonarny;21;124.01;16;Lubię markę PLON, ekonomicznie i jakościowo.;Nie
163;Bronze;2022-11-10;online;4;30.0;42;Często psuje się terminal BLIK.;Nie
164;Bronze;2024-01-12;stacjonarny;2;37.96;10;Q-commerce w Warszawie super, w innych miastach dłuższy czas.;Nie
165;Silver;2024-06-03;q-commerce;8;49.04;11;Sklep czysty i obsługa miła, brakuje samoobsługowych kas.;Nie
166;Bronze;2023-04-01;stacjonarny;0;61.53;14;Często psuje się terminal BLIK.;Tak
167;Gold;2024-09-06;online;23;149.79;57;Sklep czysty i obsługa miła, brakuje samoobsługowych kas.;Nie
168;Bronze;2024-12-24;stacjonarny;0;19.7;38;Potrzeba więcej parkingu.;Nie
169;Silver;2025-11-12;stacjonarny;6;73.58;49;;Tak
170;Silver;2025-05-04;stacjonarny;4;115.84;8;Świeże pieczywo tylko do 14:00, potem nic.;Nie
171;Silver;2023-05-11;stacjonarny;8;67.19;20;Brak wegańskich opcji w mięsie roślinnym.;Tak
172;Bronze;2024-04-26;q-commerce;1;46.56;-30;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Tak
173;Silver;2022-12-02;online;7;103.53;29;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Tak
174;Gold;2023-12-06;stacjonarny;22;174.38;25;Często psuje się terminal BLIK.;Nie
175;Bronze;2023-09-28;online;2;59.52;0;Przeceny end-of-day super, ale rzadko widoczne.;Nie
176;Bronze;2024-04-15;online;1;44.46;-10;Kierowca Q-com pomylił adres.;Nie
177;Gold;2024-12-15;online;27;208.98;6;Przeceny end-of-day super, ale rzadko widoczne.;Nie
178;Bronze;2025-01-03;online;0;62.57;-31;Świetna jakość mięsa, ale wieczorem często brakuje.;Nie
179;Bronze;2022-06-24;stacjonarny;4;47.46;-4;Przeceny end-of-day super, ale rzadko widoczne.;Nie
180;Silver;2024-03-28;stacjonarny;9;78.58;32;Sklep czysty i obsługa miła, brakuje samoobsługowych kas.;Nie
181;Silver;2025-03-22;stacjonarny;4;72.29;-3;Brak wegańskich opcji w mięsie roślinnym.;Tak
182;Bronze;2022-03-04;q-commerce;1;42.36;0;Q-commerce w Warszawie super, w innych miastach dłuższy czas.;Tak
183;Silver;2024-09-28;stacjonarny;8;111.15;-36;Często psuje się terminal BLIK.;Nie
184;Bronze;2024-07-13;stacjonarny;4;35.66;28;;Nie
185;Bronze;2024-09-25;online;4;46.61;8;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Tak
186;Gold;2024-02-20;stacjonarny;21;169.49;-11;Przeceny end-of-day super, ale rzadko widoczne.;Nie
187;Bronze;2024-06-24;online;2;42.33;-20;Q-commerce w Warszawie super, w innych miastach dłuższy czas.;Tak
188;Bronze;2023-07-08;stacjonarny;4;55.54;-16;Q-commerce w Warszawie super, w innych miastach dłuższy czas.;Tak
189;Silver;2024-03-14;stacjonarny;8;120.4;8;Promocje są dobre, ale potem braki na półce.;Nie
190;Bronze;2022-11-18;stacjonarny;0;23.38;0;Świeże pieczywo tylko do 14:00, potem nic.;Tak
191;Silver;2023-04-22;stacjonarny;7;58.69;10;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Tak
192;Gold;2025-05-11;stacjonarny;11;142.07;36;Przeceny end-of-day super, ale rzadko widoczne.;Nie
193;Bronze;2024-01-04;stacjonarny;2;37.54;3;Aplikacja mobilna mało intuicyjna.;Tak
194;Bronze;2022-05-07;q-commerce;1;30.53;-11;Aplikacja mobilna mało intuicyjna.;Nie
195;Gold;2024-06-24;stacjonarny;27;195.57;79;Świetna jakość mięsa, ale wieczorem często brakuje.;Nie
196;Silver;2024-12-21;online;10;54.23;83;Aplikacja mobilna mało intuicyjna.;Nie
197;Silver;2022-02-10;online;5;60.06;21;Potrzeba więcej parkingu.;Nie
198;Bronze;2025-09-28;stacjonarny;0;47.5;11;;Tak
199;Bronze;2023-09-09;stacjonarny;4;47.8;43;;Nie
200;Silver;2023-10-06;stacjonarny;5;51.51;48;;Nie
201;Bronze;2023-04-27;q-commerce;4;52.2;62;Lubię markę PLON, ekonomicznie i jakościowo.;Nie
202;Bronze;2022-08-23;stacjonarny;2;40.73;48;Aplikacja mobilna mało intuicyjna.;Tak
203;Gold;2023-12-20;stacjonarny;15;134.04;32;Sklep czysty i obsługa miła, brakuje samoobsługowych kas.;Nie
204;Silver;2022-07-27;stacjonarny;6;58.03;-7;;Nie
205;Bronze;2024-11-07;stacjonarny;0;49.28;0;Świeże pieczywo tylko do 14:00, potem nic.;Nie
206;Silver;2022-10-08;online;5;91.58;45;Często psuje się terminal BLIK.;Nie
207;Gold;2025-04-10;online;21;204.86;0;;Nie
208;Silver;2023-07-12;stacjonarny;9;119.58;21;W sezonie urlopowym sklep świeci pustkami — gdzie mleko?;Nie
209;Bronze;2024-12-27;online;4;56.71;10;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Nie
210;Bronze;2023-01-26;q-commerce;4;35.49;44;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Tak
211;Bronze;2024-01-10;stacjonarny;2;38.57;34;Aplikacja mobilna mało intuicyjna.;Tak
212;Bronze;2022-05-06;online;1;50.33;2;Często psuje się terminal BLIK.;Nie
213;Gold;2024-08-24;stacjonarny;14;197.29;43;Potrzeba więcej parkingu.;Nie
214;Bronze;2022-12-20;stacjonarny;4;36.64;-20;Plonka — kupony często nieadekwatne do moich zakupów.;Nie
215;Silver;2024-08-11;q-commerce;4;107.2;36;;Tak
216;Silver;2024-04-12;stacjonarny;7;69.04;-4;W sezonie urlopowym sklep świeci pustkami — gdzie mleko?;Nie
217;Bronze;2022-11-22;q-commerce;0;38.5;27;Świeże pieczywo tylko do 14:00, potem nic.;Tak
218;Silver;2022-06-07;stacjonarny;6;81.64;44;;Nie
219;Gold;2025-10-20;stacjonarny;28;71.85;8;Brak wegańskich opcji w mięsie roślinnym.;Nie
220;Silver;2023-09-10;online;4;67.45;43;Plonka — kupony często nieadekwatne do moich zakupów.;Nie
221;Bronze;2025-05-15;online;3;43.95;61;;Tak
222;Silver;2022-12-21;online;10;49.68;-14;;Nie
223;Silver;2024-11-10;q-commerce;8;78.66;1;Brak wegańskich opcji w mięsie roślinnym.;Tak
224;Bronze;2024-07-22;q-commerce;2;48.38;10;Brak wegańskich opcji w mięsie roślinnym.;Nie
225;Silver;2022-06-21;online;7;63.04;23;W sezonie urlopowym sklep świeci pustkami — gdzie mleko?;Nie
226;Bronze;2024-01-24;stacjonarny;0;40.8;-31;Potrzeba więcej parkingu.;Nie
227;Silver;2025-07-22;stacjonarny;8;116.3;-19;Sklep czysty i obsługa miła, brakuje samoobsługowych kas.;Nie
228;Bronze;2023-01-04;online;2;51.49;-30;;Nie
229;Bronze;2024-01-02;stacjonarny;0;47.78;89;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Tak
230;Gold;2024-05-16;stacjonarny;11;159.97;38;Świeże pieczywo tylko do 14:00, potem nic.;Nie
231;Silver;2023-09-05;stacjonarny;5;81.46;25;W sezonie urlopowym sklep świeci pustkami — gdzie mleko?;Nie
232;Bronze;2022-04-06;stacjonarny;3;67.41;10;Przeceny end-of-day super, ale rzadko widoczne.;Tak
233;Bronze;2024-02-03;online;2;58.66;32;Plonka — kupony często nieadekwatne do moich zakupów.;Nie
234;Bronze;2023-08-06;stacjonarny;3;32.92;-30;;Tak
235;Bronze;2025-01-23;stacjonarny;3;42.38;-20;Świetna jakość mięsa, ale wieczorem często brakuje.;Nie
236;Gold;2023-01-20;q-commerce;23;170.6;37;Aplikacja mobilna mało intuicyjna.;Nie
237;Gold;2023-06-24;stacjonarny;18;173.13;-60;Sklep czysty i obsługa miła, brakuje samoobsługowych kas.;Nie
238;Bronze;2023-08-21;online;4;52.98;23;Sklep czysty i obsługa miła, brakuje samoobsługowych kas.;Nie
239;Silver;2024-12-02;stacjonarny;9;110.87;38;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Nie
240;Bronze;2025-08-16;stacjonarny;2;50.23;-30;Plonka — kupony często nieadekwatne do moich zakupów.;Nie
241;Bronze;2023-05-18;online;2;52.45;32;Drożej niż w Lidlu, ale jakość fresh lepsza.;Nie
242;Bronze;2023-02-07;stacjonarny;2;47.81;-20;Drożej niż w Lidlu, ale jakość fresh lepsza.;Tak
243;Bronze;2024-12-08;stacjonarny;0;43.83;-30;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Tak
244;Silver;2023-01-24;stacjonarny;8;99.88;40;W sezonie urlopowym sklep świeci pustkami — gdzie mleko?;Nie
245;Silver;2025-10-17;online;6;89.39;-36;Często psuje się terminal BLIK.;Nie
246;Bronze;2023-05-05;stacjonarny;1;63.06;-20;Plonka — kupony często nieadekwatne do moich zakupów.;Nie
247;Silver;2025-10-25;stacjonarny;8;60.61;25;Plonka — kupony często nieadekwatne do moich zakupów.;Tak
248;Bronze;2023-10-07;online;0;40.1;28;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Tak
249;Bronze;2023-01-15;stacjonarny;2;40.37;-30;;Tak
250;Bronze;2023-01-02;stacjonarny;4;50.05;55;Q-commerce w Warszawie super, w innych miastach dłuższy czas.;Tak
251;Silver;2023-03-11;stacjonarny;7;94.61;56;Świeże pieczywo tylko do 14:00, potem nic.;Nie
252;Bronze;2023-08-09;online;0;44.28;-20;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Nie
253;Bronze;2025-10-02;stacjonarny;3;69.4;-10;Brak wegańskich opcji w mięsie roślinnym.;Nie
254;Bronze;2022-04-05;stacjonarny;2;49.85;29;Q-commerce w Warszawie super, w innych miastach dłuższy czas.;Tak
255;Silver;2022-05-16;stacjonarny;4;121.49;98;Drożej niż w Lidlu, ale jakość fresh lepsza.;Nie
256;Bronze;2023-07-20;online;2;17.63;-10;Potrzeba więcej parkingu.;Tak
257;Bronze;2022-12-17;stacjonarny;4;37.5;-30;Bardzo długie kolejki w piątek po 17:00.;Tak
258;Bronze;2025-09-09;online;3;52.29;-10;Brak wegańskich opcji w mięsie roślinnym.;Tak
259;Bronze;2025-10-04;stacjonarny;4;59.73;33;;Tak
260;Bronze;2022-06-11;stacjonarny;1;42.16;0;;Nie
261;Bronze;2022-02-10;q-commerce;2;33.23;-10;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Nie
262;Silver;2025-02-19;online;7;94.75;28;Kierowca Q-com pomylił adres.;Tak
263;Bronze;2022-06-24;stacjonarny;2;47.85;-30;Drożej niż w Lidlu, ale jakość fresh lepsza.;Nie
264;Bronze;2023-10-17;stacjonarny;3;49.94;100;Świeże pieczywo tylko do 14:00, potem nic.;Nie
265;Bronze;2023-10-09;q-commerce;1;38.17;30;Bardzo długie kolejki w piątek po 17:00.;Tak
266;Bronze;2024-08-06;online;1;33.71;10;Lubię markę PLON, ekonomicznie i jakościowo.;Nie
267;Bronze;2023-11-20;stacjonarny;0;39.97;27;;Nie
